Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,Score,mood
1301,3kNVYo6BJE9AENxzokM9YC,Calle 13,Entren Los Que Quieran,Muerte En Hawaii,71,189866,False,0.675,0.588,3,-7.168,1,0.177,0.789,0.0,0.95,0.879,79.989,4,afrobeat,18,Happy
1560,1xuYajTJZh8zZrPRmUaagf,Calle 13;Totó La Momposina;Susana Baca;Maria Rita,Entren Los Que Quieran,"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)",64,301426,False,0.691,0.805,2,-6.81,0,0.0947,0.59,0.0,0.0975,0.866,142.503,3,afrobeat,21,Happy
1000,4pR4oQJULf7FDB54TleMyH,Limoblaze;Lecrae;Happi,Jireh (My Provider),Jireh (My Provider),64,168000,False,0.443,0.778,0,-7.564,0,0.266,0.241,0.0,0.215,0.628,128.25,5,afrobeat,20,Happy
1450,4YEU9N2XAE0DfUwxWI5ijA,Jorge Drexler,Eco,Todo se transforma,63,217146,False,0.761,0.488,9,-7.326,1,0.043,0.199,0.00236,0.0864,0.682,100.024,4,afrobeat,19,Happy
1314,3HgPOHHJWnMfv1Zw27Jh2V,The Poets Of Rhythm,Practice What You Preach,More Mess on My Thing,57,252000,False,0.542,0.869,0,-6.18,1,0.0954,0.225,0.891,0.0453,0.962,190.509,4,afrobeat,20,Happy
1268,3ObBmm3X92aff7Dct4drkj,Cymande,Promised Heights,Brothers On The Slide,56,251400,False,0.815,0.602,7,-10.192,0,0.196,0.3,0.00548,0.0737,0.805,109.704,4,afrobeat,20,Happy
1504,1W6txMoK3kxBkc5IttrwiA,The Dynamics,Version Excursions,Move on Up,53,359213,False,0.836,0.709,11,-9.135,0,0.0352,0.154,0.392,0.0894,0.969,145.952,4,afrobeat,21,Happy
1253,7DFA3k0QQtvAkItuNAwKh4,Monophonics;Kelly Finnigan,It's Only Us,Last One Standing,53,436840,False,0.588,0.576,6,-6.945,0,0.0367,0.218,0.0357,0.172,0.66,129.155,4,afrobeat,20,Happy
1453,0iHvpSHYsp4tSrYlvgEh7l,Greyboy;Nino Moschella,15 Years of West Coast Cool,Love,53,216080,False,0.851,0.414,11,-8.518,0,0.0314,0.0498,0.00135,0.11,0.581,102.807,4,afrobeat,19,Happy
1907,1xDeDsNoBNyBidVQKPnWXE,Menahan Street Band,Make the Road By Walking,Home Again,52,202240,False,0.587,0.732,5,-8.097,1,0.0317,0.055,0.924,0.247,0.747,96.848,4,afrobeat,18,Happy
1713,18OzYEBhFuusiRbvkhf6Zl,Menahan Street Band,Make the Road By Walking,Make the Road By Walking,51,183213,False,0.615,0.76,10,-8.393,0,0.0317,0.0186,0.053,0.0825,0.902,90.847,4,afrobeat,20,Happy
1501,3lB31lvF4GEwKwMgFWwCJ7,Letta Mbulu,In The Music The Village Never Ends,Nomalizo,51,311866,False,0.86,0.41,9,-13.625,0,0.0473,0.306,0.000669,0.0424,0.653,98.269,4,afrobeat,18,Happy
1653,0kJg1vDAXOvuPUe4bLii7F,The Bamboos,Rawville,I Don't Wanna Stop,50,249200,False,0.69,0.775,5,-5.116,0,0.0306,0.119,0.000533,0.125,0.962,93.241,4,afrobeat,20,Happy
1984,1cGpjqxs56wNKE6LOBnUcD,The New Mastersounds,Breaks from the Border,Freckles,50,223600,False,0.787,0.834,6,-6.16,0,0.0311,0.145,0.802,0.0929,0.961,113.337,4,afrobeat,20,Happy
